SKU_A,SKU_B,support,confidence,lift,antecedent support,consequent support,Lambda_A,Lambda_B
S049,S052,0.01,0.3225806451612903,4.743833017077798,0.031,0.068,2,6
S029,S051,0.025,0.390625,3.201844262295082,0.064,0.122,5,11
S075,S051,0.026,0.3714285714285714,3.0444964871194378,0.07,0.122,5,11
S069,S051,0.025,0.35714285714285715,2.927400468384075,0.07,0.122,7,11
S046,S051,0.015,0.3488372093023256,2.8593213877239805,0.043,0.122,3,11
S097,S051,0.013,0.34210526315789475,2.8041415012942195,0.038,0.122,3,11
S060,S051,0.019,0.33928571428571425,2.781030444964871,0.056,0.122,5,11
S052,S051,0.023,0.338235294117647,2.772420443587271,0.068,0.122,6,11
S059,S013,0.012,0.5217391304347826,2.6619343389529724,0.023,0.196,2,21
S027,S051,0.024,0.3037974683544304,2.490143183233036,0.079,0.122,7,11
S092,S031,0.011,0.6111111111111112,2.405949256342957,0.018,0.254,2,28
S064,S002,0.015,0.576923076923077,2.16076058772688,0.026,0.267,2,35
S034,S031,0.012,0.5454545454545455,2.1474588403722263,0.022,0.254,3,28
S032,S002,0.018,0.5625,2.1067415730337076,0.032,0.267,2,35
S020,S089,0.014,0.3111111111111111,2.0334059549745827,0.045,0.153,5,15
S011,S031,0.018,0.5,1.968503937007874,0.036,0.254,5,28
S061,S013,0.014,0.3783783783783784,1.9305019305019306,0.037,0.196,4,21
S024,S031,0.017,0.4857142857142857,1.9122609673790776,0.035,0.254,3,28
S067,S031,0.017,0.47222222222222227,1.8591426071741033,0.036,0.254,4,28
S025,S013,0.018,0.35294117647058826,1.8007202881152462,0.051,0.196,4,21
S018,S013,0.021,0.35000000000000003,1.7857142857142858,0.06,0.196,7,21
S026,S002,0.012,0.46153846153846156,1.7286084701815039,0.026,0.267,3,35
S090,S002,0.016,0.45714285714285713,1.7121455323702512,0.035,0.267,4,35
S030,S031,0.01,0.4347826086956522,1.7117425539198905,0.023,0.254,2,28
S034,S002,0.01,0.4545454545454546,1.7024174327545114,0.022,0.267,3,35
S072,S013,0.012,0.33333333333333337,1.7006802721088436,0.036,0.196,3,21
S066,S013,0.012,0.33333333333333337,1.7006802721088436,0.036,0.196,4,21
S079,S013,0.01,0.33333333333333337,1.7006802721088436,0.03,0.196,3,21
S028,S013,0.023,0.3333333333333333,1.7006802721088434,0.069,0.196,6,21
S050,S002,0.047,0.4519230769230769,1.6925957937193892,0.104,0.267,12,35
S025,S002,0.023,0.45098039215686275,1.68906513916428,0.051,0.267,4,35
S004,S002,0.012,0.4444444444444445,1.6645859342488556,0.027,0.267,2,35
S041,S002,0.015,0.4411764705882352,1.652346331791143,0.034,0.267,3,35
S099,S031,0.015,0.4166666666666667,1.6404199475065617,0.036,0.254,4,28
S028,S002,0.03,0.4347826086956521,1.6283992835043148,0.069,0.267,6,35
S000,S002,0.032,0.43243243243243246,1.6195971252151027,0.074,0.267,7,35
S074,S013,0.017,0.3148148148148148,1.6061980347694633,0.054,0.196,6,21
S058,S002,0.027,0.42857142857142855,1.6051364365971106,0.063,0.267,6,35
S047,S002,0.024,0.42857142857142855,1.6051364365971106,0.056,0.267,5,35
S028,S031,0.028,0.40579710144927533,1.5976263836585642,0.069,0.254,6,28
S082,S031,0.015,0.40540540540540543,1.5960842732496276,0.037,0.254,3,28
S032,S013,0.01,0.3125,1.5943877551020407,0.032,0.196,2,21
S088,S031,0.019,0.40425531914893614,1.5915563746021109,0.047,0.254,4,28
S050,S031,0.042,0.4038461538461539,1.589945487583283,0.104,0.254,12,28
S079,S031,0.012,0.4,1.5748031496062993,0.03,0.254,3,28
S005,S031,0.022,0.39999999999999997,1.574803149606299,0.055,0.254,6,28
S084,S013,0.019,0.3064516129032258,1.5635286372613562,0.062,0.196,6,21
S058,S031,0.025,0.39682539682539686,1.5623047119110112,0.063,0.254,6,28
S095,S002,0.03,0.4166666666666667,1.5605493133583022,0.072,0.267,8,35
S012,S002,0.021,0.411764705882353,1.542189909671734,0.051,0.267,4,35
