SKU_ID,Lambda_Weekly,Unit_Weight_kg,Unit_Vol_m3,Req_Temp_C,ABC_Class,Cluster
S002,35,23.302,0.0259,4,A,0
S031,28,94.224,0.0992,24,A,0
S013,21,7.927,0.0226,24,A,0
S089,15,27.922,0.031,4,A,2
S080,13,38.111,0.0401,24,A,3
S050,12,41.41,0.0592,-18,A,2
S006,12,19.019,0.0761,6,A,2
S008,11,18.771,0.0536,24,A,3
S051,11,93.632,0.039,24,A,1
S056,11,32.662,0.0467,-18,A,2
S071,11,62.616,0.0659,24,A,1
S017,10,33.825,0.0483,-18,A,2
S014,10,5.154,0.0147,24,A,3
S045,9,17.356,0.0248,-18,A,2
S095,8,64.064,0.0674,24,A,1
S000,7,51.5,0.0542,24,A,1
S027,7,87.173,0.0872,24,A,1
S018,7,14.699,0.0588,6,A,2
S069,7,150.922,0.0629,24,A,1
S057,7,31.888,0.0354,4,A,2
S028,6,14.604,0.0162,4,A,3
S084,6,11.239,0.0125,4,A,3
S052,6,8.072,0.0202,24,A,3
S058,6,29.406,0.031,24,A,3
S074,6,13.312,0.0532,6,A,2
S003,6,4.788,0.0137,24,A,3
S005,6,9.557,0.0273,24,A,3
S060,5,16.277,0.0407,24,A,3
S047,5,58.966,0.0621,24,A,1
S011,5,16.603,0.0664,20,A,3
S020,5,17.034,0.0681,6,A,2
S029,5,73.881,0.0308,24,A,1
S075,5,91.976,0.0383,24,A,1
S025,4,3.5,0.01,24,A,3
S022,4,61.513,0.0648,24,A,1
S012,4,36.843,0.0526,-18,A,2
S099,4,9.944,0.0284,24,A,3
S066,4,105.237,0.1108,24,A,1
S067,4,15.646,0.0626,20,A,3
S061,4,62.631,0.0659,24,A,1
S088,4,3.777,0.0108,24,A,3
S090,4,9.0,0.01,4,A,3
S098,3,51.723,0.0544,24,A,1
S078,3,88.386,0.0884,24,A,1
S046,3,74.595,0.0746,24,A,1
S076,3,47.217,0.0675,-18,A,2
S072,3,12.852,0.0367,24,A,3
S082,3,7.11,0.0203,24,B,3
S037,3,105.457,0.1055,24,B,1
S039,3,10.994,0.0314,24,B,3
S034,3,4.589,0.0131,24,B,3
S024,3,28.421,0.0299,24,B,3
S026,3,70.532,0.0742,24,B,1
S097,3,54.211,0.0226,24,B,3
S086,3,65.095,0.0271,24,B,1
S079,3,11.394,0.0326,24,B,3
S041,3,5.534,0.0158,24,B,3
S040,3,85.16,0.0852,24,B,1
S070,2,15.22,0.0609,20,B,3
S068,2,20.104,0.0804,6,B,2
S021,2,25.834,0.0369,-18,B,2
S009,2,29.774,0.0425,-18,B,2
S004,2,13.464,0.0385,24,B,3
S032,2,44.299,0.0466,24,B,3
S030,2,8.45,0.0338,6,B,3
S001,2,64.275,0.0643,24,B,1
S085,2,12.87,0.0368,24,B,3
S092,2,15.841,0.0634,20,B,3
S096,2,96.959,0.097,24,B,1
S073,2,16.307,0.0652,6,B,2
S038,2,50.535,0.0532,24,B,1
S042,2,8.91,0.0223,24,B,3
S059,2,66.209,0.0697,24,B,1
S055,2,32.029,0.1281,20,B,1
S065,2,19.778,0.0791,6,B,2
S064,2,20.7,0.0828,6,B,2
S054,2,13.237,0.0331,24,B,3
S049,2,27.033,0.0676,24,C,3
S023,1,42.28,0.0445,24,C,3
S007,1,12.717,0.0134,24,C,3
S010,1,21.769,0.0544,24,C,3
S015,1,71.036,0.0296,24,C,1
S016,1,70.934,0.0709,24,C,1
S019,1,14.398,0.036,24,C,3
S035,1,20.028,0.0801,6,C,2
S033,1,42.138,0.0444,24,C,3
S053,1,45.313,0.0477,24,C,3
S063,1,21.19,0.0848,6,C,2
S043,1,11.988,0.03,24,C,3
S036,1,81.615,0.034,24,C,1
S044,1,29.587,0.0329,4,C,2
S048,1,79.233,0.033,24,C,1
S062,1,23.969,0.0959,6,C,2
S083,1,58.417,0.0615,24,C,1
S077,1,4.273,0.0171,6,C,3
S081,1,25.403,0.0363,-18,C,2
S091,1,13.947,0.0558,6,C,2
S087,1,12.701,0.0363,24,C,3
S094,1,76.858,0.0769,24,C,1
S093,1,48.531,0.0539,4,C,2
