SKU_ID,TotalQty_Ordered,Weekly_Demand_units,Lambda_Weekly,Unit_Weight_kg,Unit_Vol_m3,Req_Temp_C,CumulativePct,ABC_Class
S002,536,35,35,23.302,0.0259,4,0.07446808510638298,A
S031,909,28,28,94.224,0.0992,24,0.13404255319148936,A
S013,690,21,21,7.927,0.0226,24,0.17872340425531916,A
S089,309,15,15,27.922,0.031,4,0.21063829787234042,A
S080,428,13,13,38.111,0.0401,24,0.23829787234042554,A
S050,206,12,12,41.41,0.0592,-18,0.26382978723404255,A
S006,221,12,12,19.019,0.0761,6,0.28936170212765955,A
S008,379,11,11,18.771,0.0536,24,0.3127659574468085,A
S051,122,11,11,93.632,0.039,24,0.33617021276595743,A
S056,232,11,11,32.662,0.0467,-18,0.3595744680851064,A
S071,419,11,11,62.616,0.0659,24,0.3829787234042553,A
S017,182,10,10,33.825,0.0483,-18,0.40425531914893614,A
S014,386,10,10,5.154,0.0147,24,0.425531914893617,A
S045,178,9,9,17.356,0.0248,-18,0.44468085106382976,A
S095,241,8,8,64.064,0.0674,24,0.46170212765957447,A
S000,259,7,7,51.5,0.0542,24,0.4765957446808511,A
S027,283,7,7,87.173,0.0872,24,0.49148936170212765,A
S018,113,7,7,14.699,0.0588,6,0.5063829787234042,A
S069,70,7,7,150.922,0.0629,24,0.5212765957446809,A
S057,123,7,7,31.888,0.0354,4,0.5361702127659574,A
S028,147,6,6,14.604,0.0162,4,0.548936170212766,A
S084,129,6,6,11.239,0.0125,4,0.5617021276595745,A
S052,100,6,6,8.072,0.0202,24,0.574468085106383,A
S058,219,6,6,29.406,0.031,24,0.5872340425531914,A
S074,109,6,6,13.312,0.0532,6,0.6,A
S003,230,6,6,4.788,0.0137,24,0.6127659574468085,A
S005,186,6,6,9.557,0.0273,24,0.625531914893617,A
S060,80,5,5,16.277,0.0407,24,0.6361702127659574,A
S047,179,5,5,58.966,0.0621,24,0.6468085106382979,A
S011,68,5,5,16.603,0.0664,20,0.6574468085106383,A
